epoch,accuracy,loss,lr,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.23657234013080597,1.7323569059371948,1e-04,0.45231735706329346,0.4877627491950989,1.4034262895584106,0.7037143707275391
1,0.4291438162326813,1.3992058038711548,1e-04,0.6813095808029175,0.5237546563148499,1.1403992176055908,0.7621652483940125
2,0.506858229637146,1.2396949529647827,1e-04,0.7504692673683167,0.5626259446144104,1.1412558555603027,0.7705153822898865
3,0.5403552055358887,1.1317498683929443,1e-04,0.772668182849884,0.6680103540420532,0.918447732925415,0.8260869383811951
4,0.5745740532875061,1.0387338399887085,1e-04,0.8007507920265198,0.616757869720459,0.9176328182220459,0.852289080619812
5,0.6045697331428528,0.9962732195854187,1e-04,0.8183294534683228,0.6046645641326904,0.9885826706886292,0.8318456411361694
6,0.6226898431777954,0.9218583106994629,1e-04,0.8329122066497803,0.6530377268791199,0.8933289051055908,0.8471062779426575
7,0.6483901143074036,0.8755936026573181,1e-04,0.8431634306907654,0.7158076763153076,0.7592421174049377,0.8793550133705139
8,0.6479930877685547,0.826753556728363,1e-04,0.8573130369186401,0.6916210651397705,0.8155163526535034,0.8799309134483337
9,0.6819592714309692,0.7617233991622925,1e-04,0.8756497502326965,0.6654189229011536,0.8294380307197571,0.8802188038825989
10,0.6771946549415588,0.7721298933029175,1e-04,0.8756497502326965,0.651885986328125,0.8982255458831787,0.8534408211708069
11,0.7076956629753113,0.6670141220092773,1e-04,0.8962965607643127,0.6446875929832458,0.9089930653572083,0.8833861351013184
12,0.699826717376709,0.6833519339561462,1e-04,0.8904129266738892,0.7693636417388916,0.6084383726119995,0.9254246950149536
13,0.717261016368866,0.6399655342102051,1e-04,0.9048151969909668,0.7313562035560608,0.6860246658325195,0.9239850044250488
14,0.7347314357757568,0.5965664386749268,1e-04,0.916582465171814,0.7805931568145752,0.5844933390617371,0.930319607257843
15,0.7361752986907959,0.5821653604507446,1e-04,0.91672682762146,0.7172473073005676,0.7357503771781921,0.9061330556869507
16,0.7553783059120178,0.5359519720077515,1e-04,0.9277721643447876,0.7486323118209839,0.6252936720848083,0.9326230883598328
17,0.7419506311416626,0.5547597408294678,1e-04,0.9249206185340881,0.7906708717346191,0.5531160235404968,0.9409732222557068
18,0.768950343132019,0.5051550269126892,1e-04,0.9348108768463135,0.7489202618598938,0.6416774988174438,0.9291678667068481
19,0.7522379159927368,0.5306461453437805,1e-04,0.9305515289306641,0.7189749479293823,0.713354766368866,0.921969473361969
20,0.772307276725769,0.48736199736595154,1e-04,0.9372653961181641,0.6631154417991638,0.9520416855812073,0.894327700138092
21,0.7629223465919495,0.5161214470863342,1e-04,0.9361463785171509,0.791822612285614,0.5436396598815918,0.9510509371757507
22,0.7806814908981323,0.46451935172080994,1e-04,0.9443762898445129,0.7451770901679993,0.6561292409896851,0.930319607257843
23,0.7858431935310364,0.446560263633728,1e-04,0.9458200931549072,0.7921105623245239,0.545633852481842,0.9470198750495911
24,0.7944701313972473,0.41853758692741394,1e-04,0.951198399066925,0.7365390062332153,0.6947757005691528,0.9288799166679382
25,0.802230715751648,0.40688106417655945,1e-04,0.9520285725593567,0.7981572151184082,0.5336592197418213,0.9516268372535706
26,0.7866734266281128,0.4496888518333435,1e-04,0.9467225074768066,0.8125540018081665,0.5190054774284363,0.9501871466636658
27,0.7949032783508301,0.4256381690502167,1e-04,0.951198399066925,0.7926864624023438,0.5347954034805298,0.9498991966247559
28,0.7942535281181335,0.4282953143119812,1e-04,0.9519563913345337,0.7998847961425781,0.5296376943588257,0.9498991966247559
29,0.8154417872428894,0.372378408908844,1e-04,0.9614496231079102,0.7756982445716858,0.5789642333984375,0.9427008628845215
30,0.8022668361663818,0.4054918587207794,1e-04,0.9514510631561279,0.7422977089881897,0.6692500710487366,0.938957691192627
31,0.8198454976081848,0.3492235541343689,1e-04,0.9639041423797607,0.800460696220398,0.5237431526184082,0.9542182683944702
32,0.8206757307052612,0.3578392565250397,1e-04,0.9622437357902527,0.807947039604187,0.5065775513648987,0.957097589969635
33,0.8129512071609497,0.3822544813156128,1e-04,0.9572985768318176,0.7921105623245239,0.5582179427146912,0.9498991966247559
34,0.8209644556045532,0.3623996376991272,1e-04,0.9632905125617981,0.8036279678344727,0.5316790342330933,0.9524906277656555
